compatibility_rule_code,rule_set_code,subject_family,subject_type_code,relationship_type_code,object_family,object_type_code,environment_constraint_code,required_evidence_level,compatibility_outcome,missing_geometry_outcome,context_requirement,priority,symmetric_application,rationale,status,effective_from
NG-COMP-RULE-0001,NG-CONFLICT-RS-LANDFORM,NATURAL_FEATURE,MOUNTAIN,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW,REVIEW_REQUIRED,FULL_FEATURE_EXTENT_REQUIRED_FOR_EXTENT_CONFLICTS,100,false,A qualified natural landform reference point may occupy sovereign land; its full extent remains independently governed.,ACTIVE,2026-08-17
NG-COMP-RULE-0002,NG-CONFLICT-RS-LANDFORM,NATURAL_FEATURE,VALLEY,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW,REVIEW_REQUIRED,FULL_FEATURE_EXTENT_REQUIRED_FOR_EXTENT_CONFLICTS,100,false,A qualified natural landform reference point may occupy sovereign land; its full extent remains independently governed.,ACTIVE,2026-08-17
NG-COMP-RULE-0003,NG-CONFLICT-RS-LANDFORM,NATURAL_FEATURE,PLATEAU,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW,REVIEW_REQUIRED,FULL_FEATURE_EXTENT_REQUIRED_FOR_EXTENT_CONFLICTS,100,false,A qualified natural landform reference point may occupy sovereign land; its full extent remains independently governed.,ACTIVE,2026-08-17
NG-COMP-RULE-0004,NG-CONFLICT-RS-LANDFORM,NATURAL_FEATURE,PLAIN,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW,REVIEW_REQUIRED,FULL_FEATURE_EXTENT_REQUIRED_FOR_EXTENT_CONFLICTS,100,false,A qualified natural landform reference point may occupy sovereign land; its full extent remains independently governed.,ACTIVE,2026-08-17
NG-COMP-RULE-0005,NG-CONFLICT-RS-COASTAL,NATURAL_FEATURE,BAY,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW_WITH_CONDITION,REVIEW_REQUIRED,PHYSICAL_GEOMETRY_EXTRACTION_REQUIRED_BEFORE_CANONICAL_RECOGNITION,100,false,"A source-reserved coastal sector may touch the sovereign coastline, but a reserved sector is not a completed feature geometry.",ACTIVE,2026-08-17
NG-COMP-RULE-0006,NG-CONFLICT-RS-COASTAL,NATURAL_FEATURE,BEACH,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW_WITH_CONDITION,REVIEW_REQUIRED,PHYSICAL_GEOMETRY_EXTRACTION_REQUIRED_BEFORE_CANONICAL_RECOGNITION,100,false,"A source-reserved coastal sector may touch the sovereign coastline, but a reserved sector is not a completed feature geometry.",ACTIVE,2026-08-17
NG-COMP-RULE-0007,NG-CONFLICT-RS-COASTAL,NATURAL_FEATURE,CAPE,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW_WITH_CONDITION,REVIEW_REQUIRED,PHYSICAL_GEOMETRY_EXTRACTION_REQUIRED_BEFORE_CANONICAL_RECOGNITION,100,false,"A source-reserved coastal sector may touch the sovereign coastline, but a reserved sector is not a completed feature geometry.",ACTIVE,2026-08-17
NG-COMP-RULE-0008,NG-CONFLICT-RS-COASTAL,NATURAL_FEATURE,CLIFF,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW_WITH_CONDITION,REVIEW_REQUIRED,PHYSICAL_GEOMETRY_EXTRACTION_REQUIRED_BEFORE_CANONICAL_RECOGNITION,100,false,"A source-reserved coastal sector may touch the sovereign coastline, but a reserved sector is not a completed feature geometry.",ACTIVE,2026-08-17
NG-COMP-RULE-0009,NG-CONFLICT-RS-COASTAL,NATURAL_FEATURE,ESTUARY,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW_WITH_CONDITION,REVIEW_REQUIRED,PHYSICAL_GEOMETRY_EXTRACTION_REQUIRED_BEFORE_CANONICAL_RECOGNITION,100,false,"A source-reserved coastal sector may touch the sovereign coastline, but a reserved sector is not a completed feature geometry.",ACTIVE,2026-08-17
NG-COMP-RULE-0010,NG-CONFLICT-RS-COASTAL,NATURAL_FEATURE,NATURAL_HARBOUR,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,,QUALIFIED_SPATIAL_EVIDENCE,ALLOW_WITH_CONDITION,REVIEW_REQUIRED,PHYSICAL_GEOMETRY_EXTRACTION_REQUIRED_BEFORE_CANONICAL_RECOGNITION,100,false,"A source-reserved coastal sector may touch the sovereign coastline, but a reserved sector is not a completed feature geometry.",ACTIVE,2026-08-17
