citizen_house_design_id,citizen_house_design_code,primary_compatible_terrain_zone,compatible_terrain_zones,minimum_plot_area_sqm,suitable_ground_conditions,unsuitable_ground_conditions,maximum_site_slope_percent,minimum_floor_clearance_mm,flood_resilience_level,wind_resistance_level,drainage_requirement,site_inspection_requirement,physical_property_id_issue_stage,source_catalogue_sha256
019ff0b1-9e00-77ce-ab8d-293f70d6ed3c,NCH-000001-8,central_plateau,central_plateau|agricultural_plateau,80,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,150,low,moderate,perimeter_surface_drain_and_roof_runoff_route,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e02-7b6a-83d9-d9016874e3a4,NCH-000002-6,central_plateau,central_plateau|agricultural_plateau,110,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,150,low,moderate,perimeter_surface_drain_and_roof_runoff_route,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e04-7052-b5f4-5f9cbda2d64b,NCH-000003-4,central_plateau,central_plateau|agricultural_plateau,140,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,175,low,moderate,perimeter_surface_drain_and_roof_runoff_route,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e06-7181-b790-0d5724aa9320,NCH-000004-2,central_plateau,central_plateau|agricultural_plateau,190,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,175,low,moderate,perimeter_surface_drain_and_roof_runoff_route,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e08-7b12-b694-b4ca4f72b6cd,NCH-000005-9,central_plateau,central_plateau|agricultural_plateau,230,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,175,low,moderate,perimeter_surface_drain_and_roof_runoff_route,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e0a-72b4-8639-578feee330ab,NCH-000006-7,central_plateau,central_plateau|agricultural_plateau,285,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,200,low,moderate,perimeter_surface_drain_and_roof_runoff_route,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e0c-7312-9d67-098dbb72b753,NCH-000007-5,central_plateau,central_plateau|agricultural_plateau,315,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,200,low,moderate,perimeter_surface_drain_and_roof_runoff_route,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e0e-77ec-b782-7a281c0d33b9,NCH-000008-3,central_plateau,central_plateau|agricultural_plateau,350,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,200,low,moderate,perimeter_surface_drain_and_roof_runoff_route,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e10-7fec-867e-a9cf4b7ce201,NCH-000009-1,central_plateau,central_plateau|agricultural_plateau,420,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,10,200,low,moderate,perimeter_surface_drain_and_roof_runoff_route,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e12-7272-9186-dc4ac5cc5ca1,NCH-000010-9,central_plateau,central_plateau|agricultural_plateau,470,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,8,225,low,moderate,perimeter_surface_drain_and_roof_runoff_route,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e14-73b8-8558-bf2b21e30d5a,NCH-000011-7,central_plateau,central_plateau|agricultural_plateau,450,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,8,225,low,moderate,perimeter_surface_drain_and_roof_runoff_route,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e16-74eb-8658-e8e2e6283090,NCH-000012-5,central_plateau,central_plateau|agricultural_plateau,540,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,8,225,low,moderate,perimeter_surface_drain_and_roof_runoff_route,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e18-77d6-adaa-0a4a7031e879,NCH-000013-3,central_plateau,central_plateau|agricultural_plateau,350,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,8,225,low,moderate,perimeter_surface_drain_and_roof_runoff_route,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
