relationship_type_code,canonical_label,directionality,inverse_relationship_type_code,is_symmetric,requires_geometry_evidence,requires_distance_threshold,distance_unit,supports_point,supports_linestring,supports_polygon,topological_semantics,compatibility_semantics,status,effective_from,description
CONTAINS,Contains,DIRECTIONAL,WITHIN,false,true,false,,true,true,true,Topological containment,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed contains relationship.
WITHIN,Within,DIRECTIONAL,CONTAINS,false,true,false,,true,true,true,Inverse topological containment,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed within relationship.
INTERSECTS,Intersects,SYMMETRIC,INTERSECTS,true,true,false,,true,true,true,Geometries share any spatial portion,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed intersects relationship.
CROSSES,Crosses,DIRECTIONAL,CROSSES,false,true,false,,true,true,true,Subject traverses object geometry,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed crosses relationship.
TOUCHES,Touches,SYMMETRIC,TOUCHES,true,true,false,,true,true,true,Boundaries meet without interior overlap,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed touches relationship.
OVERLAPS,Overlaps,SYMMETRIC,OVERLAPS,true,true,false,,true,true,true,Same-dimension geometries share interior area/length,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed overlaps relationship.
ADJACENT_TO,Adjacent To,SYMMETRIC,ADJACENT_TO,true,true,false,,true,true,true,Governed adjacency relation,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed adjacent to relationship.
NEAR,Near,SYMMETRIC,NEAR,true,true,true,governed_unit_required,true,true,true,Distance-threshold relationship,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed near relationship.
FRONTS,Fronts,DIRECTIONAL,FRONTS,false,true,false,,true,true,true,Site or parcel has governed frontage,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed fronts relationship.
CONNECTED_TO,Connected To,SYMMETRIC,CONNECTED_TO,true,true,false,,true,true,true,Physical/network connection,RELATIONSHIP_FACT_IS_SEPARATE_FROM_POLICY_OUTCOME,ACTIVE,2026-08-17,Bundle 17C governed connected to relationship.
