settlement_name_record_id,source_place_code,canonical_name,ascii_name,place_slug,place_type_code,settlement_scale,urbanity,parent_source_place_code,major_city_source_place_code,region_code,region_name,country_code_sim,is_national_capital,is_regional_anchor,terrain_zone_code,location_character,dominant_function,property_context_tags,naming_origin,naming_influence,nickname,nickname_reason,naming_status_code,feature_lifecycle_status_code,spatial_assignment_status,source_created_on,source_basis,source_dataset_id,runtime_effect_scope,record_status
NG-NAM-SET-000001,NGP-000001,Orivane,Orivane,orivane,CITY,national_metropolis,metropolitan,,NGP-000001,NGR-01,Orivane Capital Territory,NVG,true,true,central_plateau,"National capital, multi-cultural metropolis, government and finance centre",national_government_and_finance,apartments|offices|retail|mixed_use|hotels,neutral_civic_or_planned,National civic lexicon,City of Eight Roads,Eight historic trade roads converge on the national capital.,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000002,NGP-000002,Bellwether,Bellwether,bellwether,MUNICIPALITY,municipal_urban,urban,,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Municipal service centre within Orivane Capital Territory,administration_and_services,houses|apartments|plots|retail|offices,mixed_novegeo,National mixed lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000003,NGP-000003,New Carrow,New Carrow,new-carrow,MUNICIPALITY,municipal_urban,urban,,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Municipal service centre within Orivane Capital Territory,trade_and_residential_growth,houses|apartments|plots|retail|offices,mixed_novegeo,National mixed lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000004,NGP-000004,East Meridian,East Meridian,east-meridian,MUNICIPALITY,municipal_urban,urban,,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Municipal service centre within Orivane Capital Territory,regional_production_and_services,houses|apartments|plots|retail|offices,mixed_novegeo,National mixed lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000005,NGP-000005,Orivane Central,Orivane Central,orivane-central,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,commerce_and_mixed_use,apartments|offices|retail|mixed_use,neutral_civic_or_planned,National civic lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000006,NGP-000006,Civic Crescent,Civic Crescent,civic-crescent,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,civic_and_public_services,apartments|offices|retail|mixed_use,neutral_civic_or_planned,National civic lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000007,NGP-000007,Parliament Hill,Parliament Hill,parliament-hill,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,civic_and_public_services,apartments|offices|retail|mixed_use,geographic_descriptive,NoveGeo landscape lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000008,NGP-000008,Meridian Exchange,Meridian Exchange,meridian-exchange,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,commerce_and_mixed_use,apartments|offices|retail|mixed_use,historic_trade_or_occupation,Regional trade lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000009,NGP-000009,Old Orivane,Old Orivane,old-orivane,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,heritage_and_tourism,apartments|offices|retail|mixed_use,mixed_novegeo,National mixed lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000010,NGP-000010,Northmere Quarter,Northmere Quarter,northmere-quarter,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,international_and_mixed_use,apartments|offices|retail|mixed_use,geographic_descriptive,NoveGeo landscape lexicon,Little Canada,"A large Canadian expatriate and returnee community established schools, cafés and winter-themed festivals here.",PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000011,NGP-000011,Embassy Arc,Embassy Arc,embassy-arc,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,international_and_mixed_use,apartments|offices|retail|mixed_use,neutral_civic_or_planned,National civic lexicon,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000012,NGP-000012,University Ring,University Ring,university-ring,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Metropolitan district of Orivane,education_and_research,apartments|offices|retail|mixed_use,neutral_civic_or_planned,National civic lexicon,Little Boston,"Several universities, research hospitals and international students concentrate around the ring road.",PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000013,NGP-000013,Vondrel Gardens,Vondrel Gardens,vondrel-gardens,SUBURB,urban_neighborhood,urban,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Residential neighborhood of Orivane,garden_residential,detached_houses|townhouses|apartments|residential_plots,tribal_influenced,Vondoria,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000014,NGP-000014,Lysara Heights,Lysara Heights,lysara-heights,SUBURB,urban_neighborhood,urban,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Residential neighborhood of Orivane,elevated_residential,detached_houses|townhouses|apartments|residential_plots,tribal_influenced,Lysandia,,,PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
NG-NAM-SET-000015,NGP-000015,Varenza,Varenza,varenza,SUBURB,urban_neighborhood,urban,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,NVG,false,false,central_plateau,Residential neighborhood of Orivane,cosmopolitan_residential,detached_houses|townhouses|apartments|residential_plots,tribal_influenced,Vondoria,New Seoul,"Korean technology firms, restaurants and resident families formed a recognizable commercial cluster.",PROPOSED,PROVISIONAL,UNMAPPED_PENDING_ASSOCIATION,2026-08-11,novegeo_tribes.csv + simulation geography design,dataset:novegeo:places:v001:700,SHARED_REFERENCE,ACTIVE
