marine_qualification_id,subject_type,subject_id,marine_waterbody_id,governed_feature_type_code,marine_route_type_code,source_geometry_status,coordinate_qualification_status,containment_context,land_overlap_status,source_fidelity_status,derivation_lineage_status,naming_status,sovereignty_assertion_status,publication_status,qualification_status,findings,runtime_effect_scope
NG-MAR-QUAL-000001,MARINE_WATERBODY,NG-MAR-WAT-000001,NG-MAR-WAT-000001,OCEAN,,COASTAL_INTERFACES_DEFINED_OUTER_MARINE_ENVELOPE_NOT_PRESENT_IN_REPOSITORY,NOT_APPLICABLE_OUTER_MARINE_ENVELOPE_ABSENT,ADJOINS_NATURAL_COASTLINE_AND_SURROUNDS_FIVE_OFFSHORE_ISLANDS,NOT_EVALUABLE_OUTER_MARINE_ENVELOPE_ABSENT,PASS,SOURCE_DECLARED,APPROVED_SOURCE_NAME_UNASSIGNED_TO_LEGAL_MARITIME_JURISDICTION,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS_WITH_KNOWN_GEOMETRY_LIMITATION,OUTER_MARINE_ENVELOPE_NOT_IN_REPOSITORY;NO_JURISDICTION_INFERRED,SHARED_REFERENCE
NG-MAR-QUAL-000002,COASTAL_INTERFACE,NG-MAR-IF-000001,NG-MAR-WAT-000001,CLIFF,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000003,COASTAL_INTERFACE,NG-MAR-IF-000002,NG-MAR-WAT-000001,CAPE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000004,COASTAL_INTERFACE,NG-MAR-IF-000003,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000005,COASTAL_INTERFACE,NG-MAR-IF-000004,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000006,COASTAL_INTERFACE,NG-MAR-IF-000005,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000007,COASTAL_INTERFACE,NG-MAR-IF-000006,NG-MAR-WAT-000001,BAY,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000008,COASTAL_INTERFACE,NG-MAR-IF-000007,NG-MAR-WAT-000001,BAY,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000009,COASTAL_INTERFACE,NG-MAR-IF-000008,NG-MAR-WAT-000001,NATURAL_HARBOUR,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000010,COASTAL_INTERFACE,NG-MAR-IF-000009,NG-MAR-WAT-000001,ESTUARY,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000011,COASTAL_INTERFACE,NG-MAR-IF-000010,NG-MAR-WAT-000001,BAY,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000012,COASTAL_INTERFACE,NG-MAR-IF-000011,NG-MAR-WAT-000001,BEACH,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000013,COASTAL_INTERFACE,NG-MAR-IF-000012,NG-MAR-WAT-000001,CAPE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000014,COASTAL_INTERFACE,NG-MAR-IF-000013,NG-MAR-WAT-000001,CLIFF,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000015,COASTAL_INTERFACE,NG-MAR-IF-000014,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000016,COASTAL_INTERFACE,NG-MAR-IF-000015,NG-MAR-WAT-000001,BEACH,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000017,COASTAL_INTERFACE,NG-MAR-IF-000016,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000018,COASTAL_INTERFACE,NG-MAR-IF-000017,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000019,COASTAL_INTERFACE,NG-MAR-IF-000018,NG-MAR-WAT-000001,COASTLINE,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,MAINLAND_COASTLINE:NG-SOV-PART-000001,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000020,COASTAL_INTERFACE,NG-MAR-IF-000019,NG-MAR-WAT-000001,ISLAND,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,OFFSHORE_ISLAND_COASTLINE:NG-SOV-PART-000002,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
