domain_key,source_path,disposition,expected_count,canonical_target,identity_policy,notes
sovereign-boundary,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,RECONCILE_IMMUTABLE,1,geography.world_boundary,PRESERVE_EXISTING_IDENTITY,Verify the locked NoveGeo sovereign-boundary identity; do not regenerate.
places-locked,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,RECONCILE_IMMUTABLE,700,geography.nngla_place_reference,PRESERVE_LOCKED_700,All existing place identities remain immutable.
administrative-areas-locked,data/novegeo/nngla/geographic-identity-places/source/05_geographic_candidates/administrative_area_candidates.csv,RECONCILE_IMMUTABLE,192,geography.nngla_administrative_area,PRESERVE_LOCKED_192,Boundary geometry may remain deferred; no polygon fabrication.
roads-locked,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,RECONCILE_IMMUTABLE,350,geography.nngla_road,PRESERVE_FIRST_350_ONLY,Only NG-RD-CAND-000001 through NG-RD-CAND-000350 belong to the locked canonical baseline.
roads-candidate-only,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,CANDIDATE_ONLY,550,geography.nngla_road_reference_candidate,NO_AUTO_CANONICALIZATION,Remaining road candidates must not become canonical merely because migration runs.
geographic-features-locked,data/novegeo/nngla/geographic-identity-places/source/05_geographic_candidates/geographic_feature_candidates.csv,RECONCILE_IMMUTABLE,21,geography.nngla_spatial_feature,PRESERVE_LOCKED_21,Reuse the existing canonical feature identities.
existing-geometries-locked,data/novegeo/nngla/geometry-roads-addresses/source/05_geographic_candidates/geometry_version_candidates.csv,RECONCILE_IMMUTABLE,21,geography.nngla_geometry_authority_record,PRESERVE_LOCKED_21,Existing geometry allocations remain immutable.
spatial-points-2411,data/novegeo/nngla/spatial-fabric/source/05_spatial_candidates/novegeo_coordinate_candidates_v002.csv,BATCH_INSERT_OR_REUSE,2411,geography.nngla_spatial_feature,LOCKED_NG_SPT_000001_TO_002411,Execute transactionally in configurable batches and derive resume state from PostgreSQL.
feature-pending-recognition,data/novegeo/nngla/spatial-fabric/source/10_evidence/novegeo_feature_recognition_results_v001.csv,PENDING_PRODUCTION_RECOGNITION,5,geography.nngla_feature_runtime_candidate,NO_AUTOMATIC_PRODUCTION_RECOGNITION,Qualified candidates remain pending production recognition.
feature-deferred,data/novegeo/nngla/spatial-fabric/source/10_evidence/novegeo_feature_recognition_results_v001.csv,DEFERRED,11,geography.nngla_feature_runtime_candidate,PRESERVE_DEFERRED_STATE,Deferred physical-feature evidence must remain deferred.
addresses-empty-ready,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/address_reference_candidates_v002.csv,EMPTY_READY,0,geography.nngla_address,EMPTY_GOVERNED_REGISTER,Future addresses must enter through governed address allocation and site linkage.
parcels-empty-ready,data/novegeo/nngla/cadastre-titles-state-land/source/07_land/parcel_bootstrap_v002.csv,EMPTY_READY,0,geography.nngla_parcel,EMPTY_GOVERNED_REGISTER,Future parcels must enter through cadastral and survey lifecycle controls.
titles-empty-ready,data/novegeo/nngla/cadastre-titles-state-land/source/07_land/title_bootstrap_v002.csv,EMPTY_READY,0,geography.nngla_title,EMPTY_GOVERNED_REGISTER,Future titles must enter through title reservation and issuance controls.
state-land-empty-ready,data/novegeo/nngla/cadastre-titles-state-land/source/07_land/state_land_bootstrap_v002.csv,EMPTY_READY,0,geography.nngla_state_land,EMPTY_GOVERNED_REGISTER,Future state-land records must preserve legal classification and effective dating.
survey-control-empty-ready,data/novegeo/nngla/geometry-roads-addresses/source/05_geographic_candidates/survey_control_point_candidates_v002.csv,EMPTY_READY,0,geography.nngla_survey_control_point,EMPTY_GOVERNED_REGISTER,Future survey points require valid CRS accuracy survey and approval references.
spatial-source-evidence,data/novegeo/nngla/spatial-fabric/source/00_manifest/novegeo_spatial_source_manifest_v002.csv,REFERENCE_ONLY,47,geography.nngla_source_artifact,PRESERVE_SOURCE_ACTION_POLICY,Raw v001 sources retain their individual qualify/reconcile/associate/reference roles and are not blindly canonicalized.
